Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-07-08 11:06:47,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,4015,103
2024-07-08 11:06:47,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,12485,103
2024-07-08 11:06:48,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,278,105
2024-07-08 11:06:48,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,251,103
2024-07-08 11:06:49,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,1680,103
2024-07-08 11:06:49,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,1561,103
2024-07-08 11:06:50,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,1045,101
2024-07-08 11:06:50,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,1129,102
2024-07-08 11:06:51,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,351,99
2024-07-08 11:06:51,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,335,101
2024-07-08 11:06:52,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,844,103
2024-07-08 11:06:52,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,779,103
2024-07-08 11:06:53,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,1392,102
2024-07-08 11:06:53,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,1499,102
2024-07-08 11:06:54,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,1408,102
2024-07-08 11:06:54,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,2359,101
2024-07-08 11:06:55,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,1260,103
2024-07-08 11:06:55,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,1982,102
2024-07-08 11:06:56,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,6571,103
2024-07-08 11:06:56,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,32573,103
2024-07-08 11:06:57,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,2589,103
2024-07-08 11:06:57,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,6749,103
2024-07-08 11:06:58,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,2422,103
2024-07-08 11:06:58,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,3151,102
2024-07-08 11:06:59,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,2387,102
2024-07-08 11:06:59,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,3559,102
2024-07-08 11:07:00,10.0.0.210,162.249.72.5,UDP,CA,Ontario,Ottawa,Rogers,45.42263851972765,-75.68303747538395,5GHotspot,2757,102
2024-07-08 11:07:00,162.249.72.5,10.0.0.210,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GHotspot,7047,101
