Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-09-02 20:29:19,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,23418,124
2024-09-02 20:29:19,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,6157,124
2024-09-02 20:29:20,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,562,123
2024-09-02 20:29:20,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,483,126
2024-09-02 20:29:21,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,2964,125
2024-09-02 20:29:21,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,1944,124
2024-09-02 20:29:22,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,4502,124
2024-09-02 20:29:22,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,1971,125
2024-09-02 20:29:23,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,4171,125
2024-09-02 20:29:23,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,973,123
2024-09-02 20:29:24,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1780,125
2024-09-02 20:29:24,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,844,124
2024-09-02 20:29:25,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,31888,125
2024-09-02 20:29:25,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,5929,124
2024-09-02 20:29:26,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,5002,123
2024-09-02 20:29:26,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2531,125
2024-09-02 20:29:27,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1786,124
2024-09-02 20:29:27,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2255,126
2024-09-02 20:29:28,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1985,124
2024-09-02 20:29:28,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2394,123
2024-09-02 20:29:29,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1717,125
2024-09-02 20:29:29,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2128,124
2024-09-02 20:29:30,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1972,125
2024-09-02 20:29:30,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2460,124
2024-09-02 20:29:31,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1954,124
2024-09-02 20:29:31,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2425,125
2024-09-02 20:29:32,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1990,126
2024-09-02 20:29:32,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2450,125
2024-09-02 20:29:33,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1885,124
2024-09-02 20:29:33,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2440,125
2024-09-02 20:29:34,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1990,124
2024-09-02 20:29:34,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2581,124
2024-09-02 20:29:35,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,2698,124
2024-09-02 20:29:35,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2336,125
2024-09-02 20:29:36,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1786,124
2024-09-02 20:29:36,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2908,124
2024-09-02 20:29:37,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1633,125
2024-09-02 20:29:37,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2111,124
2024-09-02 20:29:38,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1997,125
2024-09-02 20:29:38,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2972,124
2024-09-02 20:29:39,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,1862,124
2024-09-02 20:29:39,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2940,125
2024-09-02 20:29:40,162.249.72.5,192.168.8.115,UDP,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,5GRouter,2668,124
2024-09-02 20:29:40,192.168.8.115,162.249.72.5,UDP,KW,Kuwait,Sulaibikhat,Zain,29.30444981614756,47.84303639934896,5GRouter,2841,124
