Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-10 19:16:03,192.168.8.152,35.190.39.113,TLSv1.2,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,83,25
2024-08-10 19:16:03,35.190.39.113,192.168.8.152,TCP,US,Missouri,Kansas City,AS15169 Google LLC,-94.5786,39.0997,5GRouter,60,26
2024-08-10 19:16:04,192.168.8.152,192.178.24.246,TCP,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,702,25
2024-08-10 19:16:04,192.168.8.152,192.178.24.246,TLSv1.2,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,402,26
2024-08-10 19:16:04,192.168.8.152,95.66.10.161,TCP,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,1008,26
2024-08-10 19:16:04,192.168.8.152,95.66.10.161,TLSv1.3,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,5697,26
2024-08-10 19:16:04,192.178.24.246,192.168.8.152,TCP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,120,25
2024-08-10 19:16:04,192.178.24.246,192.168.8.152,TLSv1.2,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,62536,26
2024-08-10 19:16:04,95.66.10.161,192.168.8.152,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,5130,26
2024-08-10 19:16:04,95.66.10.161,192.168.8.152,TLSv1.3,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,10268,26
2024-08-10 19:16:06,142.250.181.174,192.168.8.152,TCP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,300,25
2024-08-10 19:16:06,142.250.181.174,192.168.8.152,TLSv1.2,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,2054,26
2024-08-10 19:16:06,192.168.8.152,142.250.181.174,TCP,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,5910,26
2024-08-10 19:16:06,192.168.8.152,142.250.181.174,TLSv1.2,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,572,26
2024-08-10 19:16:06,192.168.8.152,192.178.24.246,TCP,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,594,25
2024-08-10 19:16:06,192.168.8.152,192.178.24.246,TLSv1.2,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,533,25
2024-08-10 19:16:06,192.178.24.246,192.168.8.152,TCP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,180,26
2024-08-10 19:16:06,192.178.24.246,192.168.8.152,TLSv1.2,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,53408,26
2024-08-10 19:16:07,142.250.181.174,192.168.8.152,TCP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,180,26
2024-08-10 19:16:07,142.250.181.174,192.168.8.152,TLSv1.2,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,610,26
2024-08-10 19:16:07,192.168.8.152,142.250.181.174,TCP,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,5964,26
2024-08-10 19:16:07,192.168.8.152,142.250.181.174,TLSv1.2,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,1948,25
2024-08-10 19:16:07,192.168.8.152,192.178.24.246,TCP,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,540,25
2024-08-10 19:16:07,192.168.8.152,192.178.24.246,TLSv1.2,KW,Kuwait,Hawally,Zain,29.345769281162585,48.01564318294635,5GRouter,93,25
