Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-07-19 18:55:00,192.168.0.174,95.66.1.41,TCP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,54,26
2024-07-19 18:55:00,192.168.0.174,95.66.1.41,TLSv1.2,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,3599,28
2024-07-19 18:55:00,95.66.1.41,192.168.0.174,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,240,29
2024-07-19 18:55:00,95.66.1.41,192.168.0.174,TLSv1.2,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,479,26
2024-07-19 18:55:01,192.168.0.174,192.178.24.238,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,5438,28
2024-07-19 18:55:01,192.178.24.238,192.168.0.174,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,4999,28
2024-07-19 18:55:02,192.168.0.174,192.178.24.150,UDP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,653,29
2024-07-19 18:55:02,192.168.0.174,192.178.24.238,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,5951,29
2024-07-19 18:55:02,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,24384,29
2024-07-19 18:55:02,192.178.24.238,192.168.0.174,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,200,28
2024-07-19 18:55:02,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1775115,28
2024-07-19 18:55:03,192.168.0.174,192.178.24.150,UDP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,1930,28
2024-07-19 18:55:03,192.168.0.174,192.178.24.238,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,150,29
2024-07-19 18:55:03,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,17402,29
2024-07-19 18:55:03,192.178.24.150,192.168.0.174,UDP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,66822,28
2024-07-19 18:55:03,192.178.24.238,192.168.0.174,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,2031,27
2024-07-19 18:55:03,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,2085706,29
2024-07-19 18:55:04,192.168.0.174,192.178.24.238,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,1775,29
2024-07-19 18:55:04,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,19048,29
2024-07-19 18:55:04,192.168.0.174,95.66.1.41,TCP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,54,31
2024-07-19 18:55:04,192.168.0.174,95.66.1.58,TCP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,108,29
2024-07-19 18:55:04,192.178.24.238,192.168.0.174,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,402,29
2024-07-19 18:55:04,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,2292711,29
2024-07-19 18:55:05,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,6037,28
2024-07-19 18:55:05,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,371342,28
2024-07-19 18:55:06,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,20574,29
2024-07-19 18:55:06,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,2540388,29
2024-07-19 18:55:07,192.168.0.174,95.66.1.41,TCP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,486,28
2024-07-19 18:55:07,95.66.1.41,192.168.0.174,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,360,28
2024-07-19 18:55:07,95.66.1.41,192.168.0.174,TLSv1.2,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,234,29
2024-07-19 18:55:10,192.168.0.174,192.178.24.238,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,2605,28
2024-07-19 18:55:10,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,9282,29
2024-07-19 18:55:10,192.178.24.238,192.168.0.174,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,1549,29
2024-07-19 18:55:10,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,882524,29
2024-07-19 18:55:14,173.194.76.188,192.168.0.174,TCP,BE,Brussels Capital,Brussels,AS15169 Google LLC,4.3488,50.8505,5GRouter,66,29
2024-07-19 18:55:14,192.168.0.174,173.194.76.188,TCP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,55,29
2024-07-19 18:55:14,192.168.0.174,192.178.24.238,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,1854,29
2024-07-19 18:55:14,192.178.24.238,192.168.0.174,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,308,29
2024-07-19 18:55:15,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,11156,29
2024-07-19 18:55:15,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1142961,29
2024-07-19 18:55:16,192.168.0.174,212.43.1.17,QUIC,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,526,28
2024-07-19 18:55:16,192.168.0.174,95.66.1.58,TCP,KW,Kuwait,Jabriya,Zain,29.32964353805568,48.04218064217174,5GRouter,162,29
2024-07-19 18:55:16,212.43.1.17,192.168.0.174,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,80981,28
2024-07-19 18:55:16,95.66.1.58,192.168.0.174,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,120,30
2024-07-19 18:55:16,95.66.1.58,192.168.0.174,TLSv1.2,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,78,28
