Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-07-09 23:28:43,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,3432,29
2024-07-09 23:28:43,37.34.192.14,192.168.1.67,HTTP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,676368,28
2024-07-09 23:28:44,192.168.1.67,37.34.192.14,HTTP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,1070,29
2024-07-09 23:28:44,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,6006,28
2024-07-09 23:28:44,37.34.192.14,192.168.1.67,HTTP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,564866,29
2024-07-09 23:28:44,37.34.192.14,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,606096,28
2024-07-09 23:28:45,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,6138,28
2024-07-09 23:28:45,37.34.192.14,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1414224,29
2024-07-09 23:28:46,192.168.1.67,37.34.192.14,HTTP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,1070,30
2024-07-09 23:28:46,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,6270,29
2024-07-09 23:28:46,37.34.192.14,192.168.1.67,HTTP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1226,30
2024-07-09 23:28:46,37.34.192.14,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1544520,28
2024-07-09 23:28:47,192.168.1.67,37.34.192.14,HTTP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,1070,25
2024-07-09 23:28:47,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,6600,29
2024-07-09 23:28:47,37.34.192.14,192.168.1.67,HTTP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1226,31
2024-07-09 23:28:47,37.34.192.14,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1601616,28
2024-07-09 23:28:48,192.168.1.67,37.34.192.14,HTTP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,1071,30
2024-07-09 23:28:48,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,6996,28
2024-07-09 23:28:48,37.34.192.14,192.168.1.67,HTTP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1226,25
2024-07-09 23:28:48,37.34.192.14,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1977864,28
2024-07-09 23:28:49,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,5280,28
2024-07-09 23:28:49,37.34.192.14,192.168.1.67,HTTP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1226,24
2024-07-09 23:28:49,37.34.192.14,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1639680,29
2024-07-09 23:28:50,192.168.1.67,37.34.192.14,TCP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,264,29
2024-07-09 23:28:50,37.34.192.14,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,132,27
2024-07-09 23:28:52,192.168.1.67,192.178.24.206,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,6715,30
2024-07-09 23:28:52,192.168.1.67,212.43.1.19,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,6603,28
2024-07-09 23:28:52,192.178.24.206,192.168.1.67,UDP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,35084,29
2024-07-09 23:28:52,212.43.1.19,192.168.1.67,UDP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,338407,28
2024-07-09 23:28:53,192.168.1.67,192.178.24.206,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,1725,28
2024-07-09 23:28:53,192.168.1.67,212.43.1.19,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,15477,28
2024-07-09 23:28:53,192.178.24.206,192.168.1.67,UDP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,587,28
2024-07-09 23:28:53,212.43.1.19,192.168.1.67,UDP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1638616,29
2024-07-09 23:28:53,95.66.10.137,192.168.1.67,TCP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1274,26
2024-07-09 23:28:54,192.168.1.67,192.178.24.206,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,17263,29
2024-07-09 23:28:54,192.168.1.67,212.43.1.19,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,3891,28
2024-07-09 23:28:54,192.178.24.206,192.168.1.67,UDP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,176108,28
2024-07-09 23:28:54,212.43.1.19,192.168.1.67,R-GOOSE,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1292,29
2024-07-09 23:28:54,212.43.1.19,192.168.1.67,UDP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,548490,29
2024-07-09 23:28:55,192.168.1.67,192.178.24.129,QUIC,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,5558,29
2024-07-09 23:28:55,192.168.1.67,192.178.24.206,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,76,27
2024-07-09 23:28:55,192.168.1.67,212.43.1.19,UDP,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,15814,29
2024-07-09 23:28:55,192.168.1.67,95.66.10.76,QUIC,KW,Kuwait,Mangaf,Zain,29.08563943210098,48.102861502856605,5GRouter,11249,28
2024-07-09 23:28:55,192.178.24.129,192.168.1.67,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,25864,28
2024-07-09 23:28:55,192.178.24.206,192.168.1.67,UDP,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,68,33
2024-07-09 23:28:55,212.43.1.19,192.168.1.67,R-GOOSE,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,1292,33
2024-07-09 23:28:55,212.43.1.19,192.168.1.67,UDP,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,2671432,29
2024-07-09 23:28:55,95.66.10.76,192.168.1.67,QUIC,KW,Al Asimah,Kuwait City,AS42961 Mobile Telecommunications Company,47.9783,29.3697,5GRouter,416043,29
2024-07-09 23:28:56,142.250.180.35,192.168.1.67,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,43437,29
2024-07-09 23:28:56,142.250.201.150,192.168.1.67,QUIC,OM,Muscat,Muscat,AS15169 Google LLC,58.4078,23.5841,5GRouter,47664,29
