Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-24 16:54:00,142.250.74.14,192.168.86.172,UDP,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,323,15
2024-08-24 16:54:00,192.168.86.172,142.250.74.14,UDP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,1077,14
2024-08-24 16:54:04,142.250.74.131,192.168.86.172,QUIC,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,9484,14
2024-08-24 16:54:04,142.250.74.132,192.168.86.172,UDP,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,743,15
2024-08-24 16:54:04,142.250.74.14,192.168.86.172,UDP,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,22622,15
2024-08-24 16:54:04,142.250.74.98,192.168.86.172,QUIC,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,9786,14
2024-08-24 16:54:04,142.250.74.98,192.168.86.172,TCP,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,3112,15
2024-08-24 16:54:04,142.250.74.98,192.168.86.172,TLSv1.3,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,3934,15
2024-08-24 16:54:04,142.250.74.98,192.168.86.172,UDP,SE,Stockholm,Stockholm,AS15169 Google LLC,18.0687,59.3294,Fiber,565,14
2024-08-24 16:54:04,192.168.86.172,142.250.74.131,QUIC,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,5765,15
2024-08-24 16:54:04,192.168.86.172,142.250.74.132,UDP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,567,15
2024-08-24 16:54:04,192.168.86.172,142.250.74.14,UDP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,9565,14
2024-08-24 16:54:04,192.168.86.172,142.250.74.98,QUIC,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,5279,15
2024-08-24 16:54:04,192.168.86.172,142.250.74.98,TCP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,1694,15
2024-08-24 16:54:04,192.168.86.172,142.250.74.98,TLSv1.3,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,571,15
2024-08-24 16:54:04,192.168.86.172,142.250.74.98,UDP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,1075,15
2024-08-24 16:54:04,192.168.86.172,193.212.191.8,HTTP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,1189,15
2024-08-24 16:54:04,192.168.86.172,193.212.191.8,TCP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,846,14
2024-08-24 16:54:04,192.168.86.172,193.212.4.146,UDP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,15406,14
2024-08-24 16:54:04,192.168.86.172,216.58.207.246,UDP,NO,Oslo,Oslo,Telenor Norge,59.907285026276384,10.75305244542676,Fiber,1586,15
