Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-29 10:32:49,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:2::2003,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,5400,251
2024-08-29 10:32:49,2404:6800:4012:2::2003,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,QUIC,TW,Taiwan,Chang-hua,AS15169 Google LLC,120.5628,24.0733,5G,6452,251
2024-08-29 10:32:52,2001:b034:1:2396::4106,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,TCP,TW,Taiwan,Taichung,AS3462 Data Communication Business Group,120.6839,24.1469,5G,160,252
2024-08-29 10:32:52,2001:b034:1:2396::4106,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,TLSv1.2,TW,Taiwan,Taichung,AS3462 Data Communication Business Group,120.6839,24.1469,5G,7474,253
2024-08-29 10:32:52,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2001:b034:1:2396::4106,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,308,252
2024-08-29 10:32:52,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2001:b034:1:2396::4106,TLSv1.2,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,1199,251
2024-08-29 10:32:53,2001:b034:1:2396::4106,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,TCP,TW,Taiwan,Taichung,AS3462 Data Communication Business Group,120.6839,24.1469,5G,74,251
2024-08-29 10:32:53,2001:b034:1:2396::4106,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,TLSv1.2,TW,Taiwan,Taichung,AS3462 Data Communication Business Group,120.6839,24.1469,5G,731,253
2024-08-29 10:32:53,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2001:b034:1:2396::4106,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,148,251
2024-08-29 10:32:53,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2001:b034:1:2396::4106,TLSv1.2,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,713,251
2024-08-29 10:32:54,142.251.42.234,172.20.10.9,UDP,TW,Taiwan,Taipei,AS15169 Google LLC,121.5264,25.0531,5G,834,251
2024-08-29 10:32:54,172.20.10.9,142.251.42.234,UDP,TW,Taipei,Taipei,HiNet,25.03806094222338,121.5192081760227,5G,818,252
2024-08-29 10:32:54,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012::200a,UDP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,647,252
2024-08-29 10:32:54,2404:6800:4012::200a,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,UDP,TW,Taiwan,Chang-hua,AS15169 Google LLC,120.5628,24.0733,5G,409,251
2024-08-29 10:32:57,2001:b400:e3aa:c918:5009:9b93:885d:cf7b,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,ICMPv6,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,86,251
2024-08-29 10:32:57,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2001:b400:e3aa:c918:5009:9b93:885d:cf7b,ICMPv6,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,86,252
2024-08-29 10:33:05,142.251.42.234,172.20.10.9,UDP,TW,Taiwan,Taipei,AS15169 Google LLC,121.5264,25.0531,5G,120,252
2024-08-29 10:33:05,172.20.10.9,142.251.42.234,UDP,TW,Taipei,Taipei,HiNet,25.03806094222338,121.5192081760227,5G,75,252
2024-08-29 10:33:14,142.251.42.234,172.20.10.9,UDP,TW,Taiwan,Taipei,AS15169 Google LLC,121.5264,25.0531,5G,242,251
2024-08-29 10:33:14,172.20.10.9,142.251.42.234,UDP,TW,Taipei,Taipei,HiNet,25.03806094222338,121.5192081760227,5G,75,250
2024-08-29 10:33:14,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2600:1417:1b::cb45:8a34,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,382,252
2024-08-29 10:33:14,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2600:1417:1b::cb45:8a34,TLSv1.3,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,1169,253
2024-08-29 10:33:14,2600:1417:1b::cb45:8a34,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,TCP,TW,Taiwan,Taipei,AS20940 Akamai International B.V.,121.5264,25.0531,5G,1698,253
2024-08-29 10:33:14,2600:1417:1b::cb45:8a34,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,TLSv1.3,TW,Taiwan,Taipei,AS20940 Akamai International B.V.,121.5264,25.0531,5G,5223,252
2024-08-29 10:33:21,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012::2004,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,5897,251
2024-08-29 10:33:21,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012::200e,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,11729,252
2024-08-29 10:33:21,2404:6800:4012::2004,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,QUIC,TW,Taiwan,Chang-hua,AS15169 Google LLC,120.5628,24.0733,5G,5289,251
2024-08-29 10:33:21,2404:6800:4012::200e,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,QUIC,TW,Taiwan,Chang-hua,AS15169 Google LLC,120.5628,24.0733,5G,112389,252
2024-08-29 10:33:22,2001:b032:5cff:6::e,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,QUIC,TW,Taiwan,Taipei,AS3462 Data Communication Business Group,121.5264,25.0531,5G,7814,252
2024-08-29 10:33:22,2001:b032:5d00:d10::d,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,QUIC,TW,Taiwan,Taipei,AS3462 Data Communication Business Group,121.5264,25.0531,5G,7196,253
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2001:b032:5cff:6::e,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,4440,252
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2001:b032:5d00:d10::d,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,6468,252
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:4::2003,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,6003,252
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:4::200a,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,6067,251
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:4::200a,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,468,252
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:4::200a,TLSv1.3,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,1952,252
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:4::2016,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,7929,251
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:4::2016,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,394,251
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012:4::2016,TLSv1.3,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,1943,253
2024-08-29 10:33:22,2001:b400:e3aa:c918:b08e:4c38:9d82:4436,2404:6800:4012::200e,QUIC,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,10965,251
