Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-29 07:33:03,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,2404:6800:4012::200e,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,308,253
2024-08-29 07:33:03,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,2404:6800:4012::200e,TLSv1.3,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,5231,253
2024-08-29 07:33:03,2404:6800:4012::200e,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,TCP,TW,Taiwan,Chang-hua,AS15169 Google LLC,120.5628,24.0733,5G,1750,253
2024-08-29 07:33:03,2404:6800:4012::200e,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,TLSv1.3,TW,Taiwan,Chang-hua,AS15169 Google LLC,120.5628,24.0733,5G,2059,253
2024-08-29 07:33:05,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,2404:6800:4012::200e,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,148,253
2024-08-29 07:33:05,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,2606:2800:21f:b505:516b:4186:98cd:116,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,86,253
2024-08-29 07:33:05,2404:6800:4012::200e,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,TCP,TW,Taiwan,Chang-hua,AS15169 Google LLC,120.5628,24.0733,5G,74,253
2024-08-29 07:33:06,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,2606:2800:21f:b505:516b:4186:98cd:116,TCP,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,296,253
2024-08-29 07:33:06,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,2606:2800:21f:b505:516b:4186:98cd:116,TLSv1.3,TW,Taiwan,Taoyuan City,AS17421 Mobile Business Group,121.297,24.9937,5G,3319,253
2024-08-29 07:33:06,2606:2800:21f:b505:516b:4186:98cd:116,2001:b400:e2f8:ce7:e8b0:a380:ddc7:cc7f,TCP,US,California,Culver City,AS15133 Edgecast Inc.,-118.4276,33.9728,5G,1602,253
