Time,Source,Destination,Protocol,Country,Region,City,Org,Longitude,Latitude,Connection,Length,ARTT
2024-08-18 12:40:08,192.168.65.91,216.58.209.202,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1366,10
2024-08-18 12:40:08,216.58.209.202,192.168.65.91,UDP,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,1359,12
2024-08-18 12:40:09,192.168.65.91,216.58.209.202,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,498,11
2024-08-18 12:40:09,192.168.65.91,216.58.209.202,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,2995,10
2024-08-18 12:40:09,192.168.65.91,216.58.211.238,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,4395,11
2024-08-18 12:40:09,192.168.65.91,216.58.211.238,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,4872,11
2024-08-18 12:40:09,192.168.65.91,216.58.211.238,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,5913,10
2024-08-18 12:40:09,192.168.65.91,216.58.211.238,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,8
2024-08-18 12:40:09,192.168.65.91,216.58.211.246,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1266,11
2024-08-18 12:40:09,192.168.65.91,216.58.211.246,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,5138,9
2024-08-18 12:40:09,216.58.209.202,192.168.65.91,TCP,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,4698,12
2024-08-18 12:40:09,216.58.209.202,192.168.65.91,TLSv1.3,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,19479,10
2024-08-18 12:40:09,216.58.211.238,192.168.65.91,QUIC,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,9891,11
2024-08-18 12:40:09,216.58.211.238,192.168.65.91,TCP,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,109592,11
2024-08-18 12:40:09,216.58.211.238,192.168.65.91,TLSv1.3,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,1145103,10
2024-08-18 12:40:09,216.58.211.238,192.168.65.91,UDP,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,1292,6
2024-08-18 12:40:09,216.58.211.246,192.168.65.91,TCP,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,9234,11
2024-08-18 12:40:09,216.58.211.246,192.168.65.91,TLSv1.3,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,63602,10
2024-08-18 12:40:10,173.194.191.234,192.168.65.91,QUIC,US,Texas,Dallas,AS15169 Google LLC,-96.8067,32.7831,5GHotspot,8011,12
2024-08-18 12:40:10,173.194.220.84,192.168.65.91,QUIC,FI,Kymenlaakso,Hamina,AS15169 Google LLC,27.1979,60.5697,5GHotspot,9914,11
2024-08-18 12:40:10,173.194.220.84,192.168.65.91,TCP,FI,Kymenlaakso,Hamina,AS15169 Google LLC,27.1979,60.5697,5GHotspot,3352,10
2024-08-18 12:40:10,173.194.220.84,192.168.65.91,TLSv1.3,FI,Kymenlaakso,Hamina,AS15169 Google LLC,27.1979,60.5697,5GHotspot,10885,12
2024-08-18 12:40:10,173.194.220.84,192.168.65.91,UDP,FI,Kymenlaakso,Hamina,AS15169 Google LLC,27.1979,60.5697,5GHotspot,1292,10
2024-08-18 12:40:10,192.168.65.91,173.194.191.234,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,5863,10
2024-08-18 12:40:10,192.168.65.91,173.194.191.234,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,11
2024-08-18 12:40:10,192.168.65.91,173.194.220.84,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,5797,11
2024-08-18 12:40:10,192.168.65.91,173.194.220.84,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,444,12
2024-08-18 12:40:10,192.168.65.91,173.194.220.84,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,4234,11
2024-08-18 12:40:10,192.168.65.91,173.194.220.84,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,14
2024-08-18 12:40:10,192.168.65.91,216.58.209.163,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,6689,11
2024-08-18 12:40:10,192.168.65.91,216.58.209.163,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,552,10
2024-08-18 12:40:10,192.168.65.91,216.58.209.163,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,3378,11
2024-08-18 12:40:10,192.168.65.91,216.58.209.163,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,11
2024-08-18 12:40:10,192.168.65.91,216.58.209.170,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,8319,10
2024-08-18 12:40:10,192.168.65.91,216.58.209.170,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,876,11
2024-08-18 12:40:10,192.168.65.91,216.58.209.170,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,3904,10
2024-08-18 12:40:10,192.168.65.91,216.58.209.170,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,8
2024-08-18 12:40:10,192.168.65.91,216.58.209.174,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,9171,10
2024-08-18 12:40:10,192.168.65.91,216.58.209.174,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,726,11
2024-08-18 12:40:10,192.168.65.91,216.58.209.174,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,4737,10
2024-08-18 12:40:10,192.168.65.91,216.58.209.174,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,12
2024-08-18 12:40:10,192.168.65.91,216.58.211.227,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,5526,10
2024-08-18 12:40:10,192.168.65.91,216.58.211.227,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,444,10
2024-08-18 12:40:10,192.168.65.91,216.58.211.227,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,3149,13
2024-08-18 12:40:10,192.168.65.91,216.58.211.227,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,11
2024-08-18 12:40:10,192.168.65.91,216.58.211.238,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,11263,11
2024-08-18 12:40:10,192.168.65.91,216.58.211.238,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,2862,10
2024-08-18 12:40:10,192.168.65.91,216.58.211.238,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,93,11
2024-08-18 12:40:10,192.168.65.91,216.58.211.246,QUIC,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,6511,10
2024-08-18 12:40:10,192.168.65.91,216.58.211.246,TCP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,108,9
2024-08-18 12:40:10,192.168.65.91,216.58.211.246,TLSv1.3,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,256,9
2024-08-18 12:40:10,192.168.65.91,216.58.211.246,UDP,FI,Pirkanmaa,Tampere,Elisa,61.49460247973059,23.774421882229014,5GHotspot,1292,14
2024-08-18 12:40:10,216.58.209.163,192.168.65.91,QUIC,FI,Uusimaa,Helsinki,AS15169 Google LLC,24.9354,60.1695,5GHotspot,9016,11
